class,count,capital,ave_cap
縫紉用品批發,121,858530000.0,7095289.256198348
縫紉用品零售,33,186100000.0,5639393.939393939
織帶織製,306,1577676000.0,5155803.9215686275
繩、纜、網加工,18,114950000.0,6386111.111111111
繩纜製造,67,710965000.0,10611417.910447761
繪畫創作,38,55408000.0,1458105.2631578948
纖維板批發,104,648000000.0,6230769.230769231
罐頭批發,307,3624853920.0,11807341.758957654
罐頭食品零售,161,10379004910.0,64465869.00621118
羊飼育,12,93100000.0,7758333.333333333
美姿禮儀造型設計,110,354875735.0,3226143.0454545454
美容、美髮、理髮設備批發,60,170555890.0,2842598.1666666665
美容整型診所,4,6200000.0,1550000.0
美甲美睫,528,174625431.0,330729.98295454547
美術教學,21,5899000.0,280904.7619047619
美術燈製造,79,2596976000.0,32873113.924050633
美髮院及髮廊,2438,1307202315.0,536178.1439704676
羽毛製品製造,39,2736978310.0,70178931.02564102
羽球（場）館,34,127390000.0,3746764.705882353
翻譯服務,353,915722000.0,2594113.314447592
老人長期護理照顧機構,27,487942900.0,18071959.259259257
耐火材料製造,93,3198901500.0,34396790.32258064
聖誕裝飾燈製造,27,235270000.0,8713703.703703703
聚丙烯？棉混紡紗（線）紡製,2,37000000.0,18500000.0
聚胺棉混紡紗（線）紡製,1,21730000.0,21730000.0
聚酯棉混紡紗（線）紡製,23,5169501480.0,224760933.91304347
聚酯粒製造,71,29202024690.0,411296122.3943662
聚酯纖維梭織布製造,92,69213353790.0,752319062.9347826
聲納、雷達系統、遙感探測設備製造,20,2512527000.0,125626350.0
職業訓練機構,21,909152888.0,43292994.666666664
職業運動,19,242904000.0,12784421.05263158
肉汁製造,3,57600000.0,19200000.0
肉類罐頭製造,23,465229400.0,20227365.217391305
肉鬆、肉乾、火腿、臘味批發,95,453170000.0,4770210.52631579
肉鬆、肉乾、火腿、臘味零售,97,992439688.0,10231336.989690721
肉鬆、肉乾製造,25,195300000.0,7812000.0
肥料批發,567,3496026960.0,6165832.380952381
肥皂製造,52,693642000.0,13339269.23076923
背帶製造,19,170630000.0,8980526.315789474
脫水水產品製造,25,643962080.0,25758483.2
脫水種子製造,21,140364000.0,6684000.0
脫水肉品製造,15,82400000.0,5493333.333333333
