country,lifeExp,gdpPercap,pop,continent
國產菸酒批發,2277,22902273410.0,10058091.089152394,Asia
基金管理,62,21923209410.0,353600151.7741935,Asia
電視節目製作,687,21850137714.0,31805149.51091703,Asia
電視機製造,11,21825269000.0,1984115363.6363637,Asia
其他金屬加工用機械設備製造,1341,21757391607.0,16224751.384787472,Asia
化工機械批發,177,21457077460.0,121226426.32768361,Asia
塑膠成型模具製造,2275,21439128836.0,9423792.894945055,Asia
其他水產品批發,3732,21385518706.0,5730310.4785637725,Asia
棉纖維處理,30,21372698450.0,712423281.6666666,Asia
其他廣告服務,8463,21185526153.0,2503311.609712868,Asia
汽油零售,2254,21144219720.0,9380754.090505768,Asia
電腦設備管理及資訊技術諮詢,1002,21130486340.0,21088309.72055888,Asia
汽車零件、汽車百貨零售,9490,21094337758.0,2222796.391780822,Asia
衛星通信網路服務,19,21039237700.0,1107328300.0,Asia
超級市場,2252,20959655590.0,9307129.480461812,Asia
其他量測、導航及控制設備製造,338,20852251189.0,61693050.85502958,Asia
顯示器製造,10,20808524150.0,2080852415.0,Asia
鋼筋、棒鋼製造,84,20781316920.0,247396630.0,Asia
一般事業廢棄物處理,616,20667171446.0,33550602.996753246,Asia
非酒精飲料批發,3363,20601010782.0,6125783.759143622,Asia
電子及半導體生產用機械設備製造,494,20560084135.0,41619603.51214575,Asia
發光二極體製造,26,20292422819.0,780477800.7307693,Asia
型鋼製造,54,20258473180.0,375156910.7407407,Asia
其他照明器具製造,451,20218281670.0,44829892.83813747,Asia
家電（視聽設備及家用空調器具除外）批發,1726,20147045661.0,11672679.988991888,Asia
其他未分類基本金屬製造,1080,20137341476.0,18645686.55185185,Asia
無線電視頻道經營,12,20114260971.0,1676188414.25,Asia
其他紙張製造,169,20111840920.0,119004975.85798816,Asia
金屬線製品製造,756,19799096370.0,26189280.912698414,Asia
保全服務,503,19795666980.0,39355202.74353877,Asia
未分類砂、石採取及其他礦業,498,19780220179.0,39719317.62851406,Asia
未分類其他金屬加工處理,3626,19586428012.0,5401662.441257584,Asia
